"cohort","schoolid_ulcs","schoolname","sector","rate_type","group","subgroup","denom","num","score","lat","long"
"2019-2020",5620,"The U School","District","4-Year Graduation Rate","All Students","All Students",50,"43","86",39.981983,-75.146256
"2019-2020",5660,"The LINC","District","4-Year Graduation Rate","All Students","All Students",38,"31","81.58",40.006819,-75.129736
"2019-2020",5700,"Kensington High School","District","4-Year Graduation Rate","All Students","All Students",96,"62","64.58",39.98483396,-75.12640188
"2019-2020",6010,"Central High School","District","4-Year Graduation Rate","All Students","All Students",577,"566","98.09",40.0372851,-75.15074825
"2019-2020",6030,"Roxborough High School","District","4-Year Graduation Rate","All Students","All Students",152,"98","64.47",40.03802479,-75.22283357
"2019-2020",6040,"Walter B. Saul High School","District","4-Year Graduation Rate","All Students","All Students",121,"117","96.69",40.04902036,-75.21981676
"2019-2020",6050,"Philadelphia High School for Girls","District","4-Year Graduation Rate","All Students","All Students",164,"157","95.73",40.03898514,-75.14475989
"2019-2020",6060,"Martin Luther King High School","District","4-Year Graduation Rate","All Students","All Students",113,"65","57.52",40.05756238,-75.16217184
"2019-2020",6090,"A. Philip Randolph Career and Technical High School","District","4-Year Graduation Rate","All Students","All Students",88,"70","79.55",40.008504,-75.179609
"2019-2020",6400,"Widener Memorial School","District","4-Year Graduation Rate","All Students","All Students",7,"s","s",40.036706,-75.146598
"2019-2020",6460,"Hill-Freedman World Academy","District","4-Year Graduation Rate","All Students","All Students",65,"48","73.85",40.071311,-75.175303
"2019-2020",6540,"Lankenau High School","District","4-Year Graduation Rate","All Students","All Students",76,"76","100",40.06153271,-75.25295594
"2019-2020",7010,"Frankford High School","District","4-Year Graduation Rate","All Students","All Students",245,"145","59.18",40.021602,-75.084823
"2019-2020",7060,"Olney High School","District","4-Year Graduation Rate","All Students","All Students",276,"231","83.7",40.028772,-75.123808
"2019-2020",7061,"Olney HS Continuation Academy","Alternative","4-Year Graduation Rate","All Students","All Students",10,"9","90",40.0291199350386,-75.1237517104556
"2019-2020",7120,"Samuel Fels High School","District","4-Year Graduation Rate","All Students","All Students",255,"173","67.84",40.03564646,-75.09109404
"2019-2020",8010,"Abraham Lincoln High School","District","4-Year Graduation Rate","All Students","All Students",471,"317","67.3",40.04310838,-75.04479221
"2019-2020",8020,"Northeast High School","District","4-Year Graduation Rate","All Students","All Students",773,"603","78.01",40.05564409,-75.07118355
"2019-2020",8030,"George Washington High School","District","4-Year Graduation Rate","All Students","All Students",387,"278","71.83",40.10598577,-75.02723013
"2019-2020",8040,"Arts Academy at Benjamin Rush","District","4-Year Graduation Rate","All Students","All Students",164,"164","100",40.08253275,-74.9752061
"2019-2020",8070,"OIC CADI","Alternative","4-Year Graduation Rate","All Students","All Students",64,"17","26.56",39.958322,-75.144801
"2019-2020",8080,"Excel Academy North","Alternative","4-Year Graduation Rate","All Students","All Students",56,"22","39.29",39.978134,-75.177658
"2019-2020",8090,"Swenson Arts and Technology High School","District","4-Year Graduation Rate","All Students","All Students",146,"143","97.95",40.0921093,-75.01398863
"2019-2020",8100,"Gateway to College - Community College of Philadelphia","Alternative","4-Year Graduation Rate","All Students","All Students",29,"4","13.79",39.9629017,-75.16627046
